sample_name,organism,title,seq_method,collection_date,biome,feature,geo_loc,lat_lon,material,depth,elevation,agrochem_addition,al_sat,al_sat_meth,ammonium,altitude,annual_season_precpt,annual_season_temp,crop_rotation,cur_land_use,cur_vegetation,cur_vegetation_meth,drainage_class,extreme_event,extreme_salinity,fao_class,fire,flooding,heavy_metals,heavy_metals_meth,horizon,horizon_meth,link_addit_analys,link_class_info,link_climate_info,local_class,local_class_meth,microbial_biomass,microbial_biomass_meth,other,pH,pH_meth,pool_dna_extracts,previous_land_use,previous_land_use_meth,profile_position,rel_to_oxygen,salinity_meth,samp_collect_device,samp_mat_process,samp_size,samp_weight_dna_ext,sieving,slope_aspect,slope_gradient,soil_type,soil_type_meth,store_cond,texture,texture_meth,tillage,tot_n,tot_n_meth,tot_org_c_meth,tot_org_carb,water_content_soil,water_content_soil_meth,user_trt1,user_trt2,user_trt3,user_trt4,user_trt5,user_trt6
Con.Fwy.1,soil metagenome,soil sample from plot 1,V3 16S rRNA tags,2012-01-01,desert,riparian,USA: CO,45.123 -125.429,soil,0-30,500,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Con.Fwy.2,soil metagenome,soil sample from plot 2,V3 16S rRNA tags,2012-01-01,desert,riparian,USA: CO,45.123 -125.429,soil,0-30,498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Con.Fwy.3,soil metagenome,soil sample from plot 3,V3 16S rRNA tags,2012-01-01,desert,riparian,USA: CO,45.123 -125.429,soil,0-30,326,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
